"NIT","RAZON SOCIAL","AÑO","MES","MUNICIPIO","ESTRATO","No. SUSCRIPTORES ACUEDUCTO","CONSUMO M3 ACUEDUCTO","PROMEDIO CONSUMO ACUEDUCTO","No. SUSCRIPTORES ALCANTARILLADO","CONSUMO M3 ALCANTARILLADO","PROMEDIO CONSUMO ALCANTARILLADO"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","FILADELFIA","Estrato1","273","2.267","8.3","198","1.839","9.29"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","FILADELFIA","Estrato2","611","5.145","8.42","536","4.679","8.73"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","FILADELFIA","Estrato3","528","4.822","9.13","499","4.802","9.62"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","FILADELFIA","Estrato4","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","FILADELFIA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","FILADELFIA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","FILADELFIA","Industrial","0","0","0","1",,"0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","FILADELFIA","Comercial","107","593","5.54","86","593","6.9"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","FILADELFIA","Publico / Oficial","17","895","52.65","20","592","29.6"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","GUARINOCITO","Estrato1","212","2.783","13.13","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","GUARINOCITO","Estrato2","549","9.439","17.19","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","GUARINOCITO","Estrato3","16","736","46","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","GUARINOCITO","Estrato4","3","258","86","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","GUARINOCITO","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","GUARINOCITO","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","GUARINOCITO","Industrial","2","30","15","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","GUARINOCITO","Comercial","85","4.515","53.12","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","GUARINOCITO","Publico / Oficial","10","198","19.8","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","KILOMETRO 41","Estrato1","141","1.194","8.47","28","299","10.68"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","KILOMETRO 41","Estrato2","278","3.311","11.91","200","2.199","11"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","KILOMETRO 41","Estrato3","49","675","13.78","16","128","8"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","KILOMETRO 41","Estrato4","19","516","27.16","2","68","34"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","KILOMETRO 41","Estrato5","40","274","6.85","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","KILOMETRO 41","Estrato6","1","5","5","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","KILOMETRO 41","Industrial","1","172","172","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","KILOMETRO 41","Comercial","12","127","10.58","4","45","11.25"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","KILOMETRO 41","Publico / Oficial","8","81","10.13","6","79","13.17"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","LA DORADA","Estrato1","4.13","81.36","19.7","3.482","70.154","20.15"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","LA DORADA","Estrato2","9.237","151.112","16.36","8.909","148.703","16.69"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","LA DORADA","Estrato3","4.33","81.138","18.74","4.197","80.224","19.11"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","LA DORADA","Estrato4","439","8.6","19.59","315","6.436","20.43"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","LA DORADA","Estrato5","60","2.447","40.78","4","72","18"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","LA DORADA","Estrato6","12","476","39.67","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","LA DORADA","Industrial","7","2.165","309.29","3","1.299","433"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","LA DORADA","Comercial","1.391","28.296","20.34","1.205","23.437","19.45"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","LA DORADA","Publico / Oficial","114","55.324","485.3","95","20.535","216.16"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MANZANARES","Estrato1","334","1.957","5.86","195","1.443","7.4"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MANZANARES","Estrato2","1.463","10.915","7.46","1.083","8.025","7.41"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MANZANARES","Estrato3","535","4.808","8.99","493","4.67","9.47"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MANZANARES","Estrato4","14","181","12.93","14","181","12.93"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MANZANARES","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MANZANARES","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MANZANARES","Industrial","1","3","3","1","3","3"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MANZANARES","Comercial","257","2.296","8.93","231","2.236","9.68"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MANZANARES","Publico / Oficial","40","1.688","42.2","29","588","20.28"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARMATO","Estrato1","158","2.97","18.8","29","571","19.69"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARMATO","Estrato2","531","11.981","22.56","373","7.123","19.1"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARMATO","Estrato3","1","20","20","1","20","20"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARMATO","Estrato4","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARMATO","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARMATO","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARMATO","Industrial","1","42","42","1","42","42"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARMATO","Comercial","79","1.509","19.1","56","589","10.52"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARMATO","Publico / Oficial","23","976","42.43","16","898","56.13"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARQUETALIA","Estrato1","628","5.688","9.06","502","4.442","8.85"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARQUETALIA","Estrato2","676","6.929","10.25","543","5.86","10.79"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARQUETALIA","Estrato3","592","6.573","11.1","515","6.026","11.7"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARQUETALIA","Estrato4","13","105","8.08","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARQUETALIA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARQUETALIA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARQUETALIA","Industrial","2","13","6.5","2","13","6.5"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARQUETALIA","Comercial","146","1.569","10.75","109","1.155","10.6"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARQUETALIA","Publico / Oficial","36","643","17.86","25","432","17.28"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARULANDA","Estrato1","104","248","2.38","51","206","4.04"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARULANDA","Estrato2","238","1.365","5.74","225","1.338","5.95"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARULANDA","Estrato3","27","161","5.96","27","161","5.96"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARULANDA","Estrato4","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARULANDA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARULANDA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARULANDA","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARULANDA","Comercial","33","67","2.03","22","66","3"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","MARULANDA","Publico / Oficial","13","87","6.69","12","87","7.25"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","NEIRA","Estrato1","133","1.026","7.71","55","965","17.55"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","NEIRA","Estrato2","1.328","16.218","12.21","1.093","14.724","13.47"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","NEIRA","Estrato3","1.749","24.562","14.04","1.691","24.454","14.46"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","NEIRA","Estrato4","2","7","3.5","1","7","7"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","NEIRA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","NEIRA","Estrato6","1","8","8","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","NEIRA","Industrial","1","3","3","1","3","3"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","NEIRA","Comercial","247","3.343","13.53","202","3.758","18.6"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","NEIRA","Publico / Oficial","38","1.666","43.84","31","1.591","51.32"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","PALESTINA","Estrato1","638","5.776","9.05","465","5.29","11.38"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","PALESTINA","Estrato2","762","8.139","10.68","639","7.794","12.2"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","PALESTINA","Estrato3","181","2.496","13.79","147","1.958","13.32"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","PALESTINA","Estrato4","125","1.697","13.58","1","28","28"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","PALESTINA","Estrato5","6","157","26.17","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","PALESTINA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","PALESTINA","Industrial","1","3","3","1","3","3"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","PALESTINA","Comercial","108","1.086","10.06","81","727","8.98"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","PALESTINA","Publico / Oficial","26","1.164","44.77","15","976","65.07"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RIOSUCIO","Estrato1","596","6.76","11.34","456","5.138","11.27"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RIOSUCIO","Estrato2","1.645","20.536","12.48","1.481","18.801","12.69"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RIOSUCIO","Estrato3","2.736","35.883","13.12","2.621","35.272","13.46"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RIOSUCIO","Estrato4","7","61","8.71","7","61","8.71"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RIOSUCIO","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RIOSUCIO","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RIOSUCIO","Industrial","1","2","2","1","2","2"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RIOSUCIO","Comercial","514","6.313","12.28","477","6.265","13.13"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RIOSUCIO","Publico / Oficial","70","7.876","112.51","60","6.857","114.28"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RISARALDA","Estrato1","542","4.004","7.39","244","3.082","12.63"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RISARALDA","Estrato2","968","8.821","9.11","723","7.404","10.24"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RISARALDA","Estrato3","261","2.244","8.6","212","1.964","9.26"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RISARALDA","Estrato4","46","242","5.26","1",,"0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RISARALDA","Estrato5","206","1.966","9.54","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RISARALDA","Estrato6","1","19","19","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RISARALDA","Industrial","1","3","3","1","3","3"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RISARALDA","Comercial","116","1.328","11.45","85","688","8.09"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","RISARALDA","Publico / Oficial","37","535","14.46","23","522","22.7"
