AÑO,Mes,Tipo de Estado,Categoria,DESCRIPCION,VALOR
2025,3,Estado de Situación Financiera,PASIVOS,OTROS PASIVOS,8190037624.68
2025,3,Estado de Situación Financiera,PASIVOS,RECURSOS RECIBIDOS EN ADMINISTRACION,8190037624.68
2025,3,Estado de Situación Financiera,PASIVOS,EN ADMINISTRACION,8190037624.68
2025,3,Estado de Situación Financiera,PATRIMONIO,PATRIMONIO,225101012480.55
2025,3,Estado de Situación Financiera,PATRIMONIO,PATRIMONIO INSTITUCIONAL,225101012480.55
2025,3,Estado de Situación Financiera,PATRIMONIO,CAPITAL FISCAL,86186682013.67
2025,3,Estado de Situación Financiera,PATRIMONIO,CAPITAL FISCAL,86186682013.67
2025,3,Estado de Situación Financiera,PATRIMONIO,RESERVAS,92993361659.39
2025,3,Estado de Situación Financiera,PATRIMONIO,FONDOS PATRIMONIALES,27610635172.55
2025,3,Estado de Situación Financiera,PATRIMONIO,OTRAS RESERVAS,65382726486.84
2025,3,Estado de Situación Financiera,PATRIMONIO,UTILIDAD O PERDIDA EJERCICIOS ANTERIORES,34338095835
2025,3,Estado de Situación Financiera,PATRIMONIO,UTILIDAD O PERDIDA EJERCICIOS ANTERIORES,34338095835
2025,3,Estado de Situación Financiera,PATRIMONIO,RESULTADOS DEL EJERCICIO,2043097292.12
2025,3,Estado de Situación Financiera,PATRIMONIO,UTILIDAD O EXCEDENTE DEL EJERCICIO,2562712966.2
2025,3,Estado de Situación Financiera,PATRIMONIO,PERDIDA DEL EJERCICIO,-519615674.08
2025,3,Estado de Situación Financiera,PATRIMONIO,GAN O PÉRD INVER DE ADMIN LIQUID VAL RAZ CON (ORI),105408257.58
2025,3,Estado de Situación Financiera,PATRIMONIO,ENTIDADES PRIVADAS,105408257.58
2025,3,Estado de Situación Financiera,PATRIMONIO,GAN O PÉRD APLIC MÉTOD PART PATR INVER ASOCIADAS,9434367422.79
2025,3,Estado de Situación Financiera,PATRIMONIO,INVERSIONES EMP INDUS Y COMERC DEL EST SOCIETARIAS,12444431449.39
2025,3,Estado de Situación Financiera,PATRIMONIO,INVERSIONES EN ENTIDADES PRIVADAS,-3010064026.6
2025,3,Estado de Resultados,INGRESOS,INGRESOS,18812191116.18
2025,3,Estado de Resultados,INGRESOS,VENTA DE SERVICIOS,13479421860
2025,3,Estado de Resultados,INGRESOS,OTROS SERVICIOS,13479421860
2025,3,Estado de Resultados,INGRESOS,OTROS SERVICIOS,13479421860
2025,3,Estado de Resultados,INGRESOS,OTROS INGRESOS,5332769256.18
2025,3,Estado de Resultados,INGRESOS,FINANCIEROS,5235560499.58
2025,3,Estado de Resultados,INGRESOS,INTERESES SOBRE DEPOSITOS EN INST. FINANCIERAS,5123696872.58
2025,3,Estado de Resultados,INGRESOS,INT. DIVID. Y PARTIC. INVERSIONES ADMON LIQUIDEZ,111863627
2025,3,Estado de Resultados,INGRESOS,OTROS INGRESOS ORDINARIOS,47930893.96
2025,3,Estado de Resultados,INGRESOS,COSTAS PROCESALES A FAVOR DE LA ENTIDAD,30090046
2025,3,Estado de Resultados,INGRESOS,REINTEGROS,17841365.96
2025,3,Estado de Resultados,INGRESOS,OTROS INGRESOS DIVERSOS,-518
2025,3,Estado de Resultados,INGRESOS,REVERSION DEL DETERIORO DEL VALOR,49277862.64
2025,3,Estado de Resultados,INGRESOS,PRESTAMOS POR COBRAR,49277862.64
2025,3,Estado de Resultados,GASTOS,GASTOS,18812191116.18
2025,3,Estado de Resultados,GASTOS,ADMINISTRACION,2352640205
2025,3,Estado de Resultados,GASTOS,SUELDOS Y SALARIOS,724035319
2025,3,Estado de Resultados,GASTOS,SUELDOS DE PERSONAL,684075279
2025,3,Estado de Resultados,GASTOS,GASTOS DE REPRESENTACION,39960040
2025,3,Estado de Resultados,GASTOS,CONTRIBUCIONES IMPUTADAS,6269588
2025,3,Estado de Resultados,GASTOS,OTRAS CONTRIBUCIONES  IMPUTADAS,6269588
2025,3,Estado de Resultados,GASTOS,CONTRIBUCIONES EFECTIVAS,201744032
2025,3,Estado de Resultados,GASTOS,APORTES A CAJA DE COMPENSACION FAMILIAR,32605900
2025,3,Estado de Resultados,GASTOS,COTIZACIONES A SEGURIDAD SOCIAL EN SALUD,67916230
2025,3,Estado de Resultados,GASTOS,COTIZACIONES A RIESGOS PROFESIONALES,5168800
2025,3,Estado de Resultados,GASTOS,COTIZACIONES A ENTIDADES ADMIT. DE PRIMA,92552248
2025,3,Estado de Resultados,GASTOS,COTIZACIONES A ENTIDADES ADMI.DEL REGIME,3500854
2025,3,Estado de Resultados,GASTOS,APORTES SOBRE LA NOMINA,40761400
2025,3,Estado de Resultados,GASTOS,APORTES AL I.C.B.F,24456100
2025,3,Estado de Resultados,GASTOS,APORTES AL SENA,16305300
2025,3,Estado de Resultados,GASTOS,PRESTACIONES SOCIALES,329848954
2025,3,Estado de Resultados,GASTOS,VACACIONES,43676773
2025,3,Estado de Resultados,GASTOS,CESANTIAS,92550654
2025,3,Estado de Resultados,GASTOS,INTERESES A LAS CESANTIAS,2563237
2025,3,Estado de Resultados,GASTOS,PRIMA DE VACACIONES,31030028
2025,3,Estado de Resultados,GASTOS,PRIMA DE NAVIDAD,72342886
2025,3,Estado de Resultados,GASTOS,PRIMA DE SERVICIOS,65281198
2025,3,Estado de Resultados,GASTOS,OTRAS PRESTACIONES,22404178
2025,3,Estado de Resultados,GASTOS,GASTOS DE PERSONAL DIVERSO,11020173
2025,3,Estado de Resultados,GASTOS,VIATICOS,7332406
2025,3,Estado de Resultados,GASTOS,OTROS GASTOS DE PERSONAL DIVERSO,3687767
2025,3,Estado de Resultados,GASTOS,GASTOS GENERALES,975023329
2025,3,Estado de Resultados,GASTOS,ESTUDIOS Y PROYECTOS,683029422
2025,3,Estado de Resultados,GASTOS,MATERIALES Y SUMINISTROS,9193603
2025,3,Estado de Resultados,GASTOS,MANTENIMIENTOS,1729022
2025,3,Estado de Resultados,GASTOS,ARRENDAMIENTOS,111884256
2025,3,Estado de Resultados,GASTOS,VIATICOS Y GASTOS DE VIAJE,5904526
2025,3,Estado de Resultados,GASTOS,COMUNICACIONES Y TRANSPORTE,20000
2025,3,Estado de Resultados,GASTOS,SEGUROS EN GENERAL,112215810
2025,3,Estado de Resultados,GASTOS,COMBUSTIBLES Y LUBRICANTES,1046690
2025,3,Estado de Resultados,GASTOS,HONORARIOS,50000000
2025,3,Estado de Resultados,GASTOS,IMPUESTOS CONTRIBUCIONES Y TASAS,63937410
2025,3,Estado de Resultados,GASTOS,CUOTA DE FISCALIZACION Y AUDITAJE,63937410
2025,3,Estado de Resultados,GASTOS,DE OPERACION,1898495805.76
2025,3,Estado de Resultados,GASTOS,SUELDOS Y SALARIOS,555059106
2025,3,Estado de Resultados,GASTOS,SUELDOS DE PERSONAL,555059106
2025,3,Estado de Resultados,GASTOS,CONTRIBUCIONES EFECTIVAS,167866192
2025,3,Estado de Resultados,GASTOS,APORTES A CAJA DE COMPENSACION FAMILIAR,29238600
2025,3,Estado de Resultados,GASTOS,COTIZACIONES A SEGURIDAD SOCIAL EN SALUD,56116998
2025,3,Estado de Resultados,GASTOS,COTIZACIONES A RIESGOS PROFESIONALES,3026400
2025,3,Estado de Resultados,GASTOS,COTIZACIONES A ENTIDADES ADMI. DE PRIMAS,62989934
2025,3,Estado de Resultados,GASTOS,COTIZACIONES A ENTIDADES ADMI. DEL REGIM,16494260
2025,3,Estado de Resultados,GASTOS,APORTES SOBRE LA NOMINA,36551100
2025,3,Estado de Resultados,GASTOS,APORTES AL I.C.B.F.,21930500
2025,3,Estado de Resultados,GASTOS,APORTES AL SENA,14620600
2025,3,Estado de Resultados,GASTOS,PRESTACIONES SOCIALES,304046861
2025,3,Estado de Resultados,GASTOS,VACACIONES,36179472
2025,3,Estado de Resultados,GASTOS,CESANTIAS,90785813
2025,3,Estado de Resultados,GASTOS,INTERESES A LAS CESANTIAS,1863746
2025,3,Estado de Resultados,GASTOS,PRIMA DE VACACIONES,26084745
2025,3,Estado de Resultados,GASTOS,PRIMA DE NAVIDAD,62208017
2025,3,Estado de Resultados,GASTOS,PRIMA DE SERVICIOS,54459333
2025,3,Estado de Resultados,GASTOS,OTRAS PRESTACIONES SOCIALES,32465735
2025,3,Estado de Resultados,GASTOS,GASTOS GENERALES,826725380.76
2025,3,Estado de Resultados,GASTOS,SERVICIOS PUBLICOS,45173708.56
2025,3,Estado de Resultados,GASTOS,VIATICOS Y GASTOS DE VIAJE,6191670
2025,3,Estado de Resultados,GASTOS,PUBLICIDAD Y PROPAGANDA,560747664
2025,3,Estado de Resultados,GASTOS,IMPRESOS Y PUBLICACIONES SUSCRIPCIONES,31303525.2
2025,3,Estado de Resultados,GASTOS,COMUNICACIONES Y TRANSPORTE,35134333
2025,3,Estado de Resultados,GASTOS,HONORARIOS,148174480
2025,3,Estado de Resultados,GASTOS,GASTOS DE PERSONAL DIVERSO,8247166
2025,3,Estado de Resultados,GASTOS,VIATICOS,1010013
2025,3,Estado de Resultados,GASTOS,OTROS GASTOS PERSONAL DIVERSOS,7237153
2025,3,Estado de Resultados,GASTOS,"PROVISIONES,AGOTAM. Y DEPRECIACIONES",3870118848.44
2025,3,Estado de Resultados,GASTOS,DETERIORO DE PRESTAMOS POR COBRAR,3709931692
2025,3,Estado de Resultados,GASTOS,PRESTAMOS CONCEDIDOS,3709931692
2025,3,Estado de Resultados,GASTOS,"DEPRECIACION DE PROPIEDADES, PLANTA Y EQUIPO",160187156.44
2025,3,Estado de Resultados,GASTOS,EDIFICACIONES,27414186.28
2025,3,Estado de Resultados,GASTOS,"MUEBLES, ENSERES Y EQUIPO DE OFICINA",64894579.24
2025,3,Estado de Resultados,GASTOS,EQUIPOS DE COMUNICACION Y COMPUTACION,41750874.64
2025,3,Estado de Resultados,GASTOS,"EQUIPOS DE TRANSPORTE, TRACCION Y ELEVACION",26127516.28
2025,3,Estado de Resultados,GASTOS,OTROS GASTOS,4803769515.55
2025,3,Estado de Resultados,GASTOS,FINANCIEROS,4803769515.55
2025,3,Estado de Resultados,GASTOS,INTERESES SOBRE DEPOSITOS Y EXIGIBILIDADES,4802685747
2025,3,Estado de Resultados,GASTOS,OTROS GASTOS FINANCIEROS,1083768.55
2025,3,Estado de Resultados,GASTOS,CIERRE DE INGRESOS GASTOS Y COSTOS,5887166741.43
2025,3,Estado de Resultados,GASTOS,CIERRE DE INGRESOS GASTOS Y COSTOS,5887166741.43
2025,3,Estado de Resultados,GASTOS,Cierre de ingresos gastos y costos,5887166741.43
2020,12,Estado de Situación Financiera,ACTIVOS,ACTIVOS,357728342482.39
2020,12,Estado de Situación Financiera,ACTIVOS,EFECTIVO Y EQUIVALENTES AL EFECTIVO,115821076536.56
2020,12,Estado de Situación Financiera,ACTIVOS,DEPOSITOS EN INSTITUCIONES FINANCIERAS,115821076536.56
2020,12,Estado de Situación Financiera,ACTIVOS,CUENTA CORRIENTE,152966308.45
2020,12,Estado de Situación Financiera,ACTIVOS,CUENTA DE AHORRO,115668110228.11
2020,12,Estado de Situación Financiera,ACTIVOS,INVERSIONES E INSTRUMENTOS DERIVADOS,50950865973.5
2020,12,Estado de Situación Financiera,ACTIVOS,INVERSION DE ADMON DE LIQUIDEZ A VALOR DE MERCADO,500208900
2020,12,Estado de Situación Financiera,ACTIVOS,ENTIDADES PRIVADAS,500208900
2020,12,Estado de Situación Financiera,ACTIVOS,INVERSIONES DE ADMINISTRACION DE LIQUIDEZ AL COSTO,13131133409.88
2020,12,Estado de Situación Financiera,ACTIVOS,ACCIONES ORDINARIAS,13131133409.88
2020,12,Estado de Situación Financiera,ACTIVOS,INVER EN ASOC. CONTAB POR EL METODO DE PART PATRIM,37319523663.62
2020,12,Estado de Situación Financiera,ACTIVOS,ENTIDADES PRIVADAS,9062748047.23
2020,12,Estado de Situación Financiera,ACTIVOS,EMPRESAS INDUS. Y COMERC. DEL ESTADO - SOCIETARIAS,28256775616.39
2020,12,Estado de Situación Financiera,ACTIVOS,CUENTAS POR COBRAR,1748700036
2020,12,Estado de Situación Financiera,ACTIVOS,OTRAS CUENTAS POR COBRAR,1748700036
2020,12,Estado de Situación Financiera,ACTIVOS,DIVIDENDOS Y PARTICIPACIONES POR COBRAR,1748700036
2020,12,Estado de Situación Financiera,ACTIVOS,DEUDORES,171703324402.98
2020,12,Estado de Situación Financiera,ACTIVOS,PRESTAMOS CONCEDIDOS,179066826550.1
2020,12,Estado de Situación Financiera,ACTIVOS,PRESTAMOS DE FOMENTO Y DSLLO REGIONAL,178918205721.12
2020,12,Estado de Situación Financiera,ACTIVOS,CREDITOS A EMPLEADOS,76943182.82
2020,12,Estado de Situación Financiera,ACTIVOS,OTROS PRESTAMOS CONCEDIDOS,71677646.16
2020,12,Estado de Situación Financiera,ACTIVOS,PROVISION PARA DEUDORES (CR),7363502147.12
2020,12,Estado de Situación Financiera,ACTIVOS,PRESTAMOS CONCEDIDOS,7363502147.12
2020,12,Estado de Situación Financiera,ACTIVOS,INVENTARIOS,36297675.99
2020,12,Estado de Situación Financiera,ACTIVOS,MATERIALES Y SUMINISTROS,36297675.99
2020,12,Estado de Situación Financiera,ACTIVOS,ELEMENTOS Y ACCESORIOS DE ASEO,19794872
2020,12,Estado de Situación Financiera,ACTIVOS,OTROS MATERIALES Y SUMINISTROS,16502803.99
2020,12,Estado de Situación Financiera,ACTIVOS,"PROPIEDADES, PLANTA  Y EQUIPO",3311240855.38
2020,12,Estado de Situación Financiera,ACTIVOS,TERRENOS,1370658107.66
2020,12,Estado de Situación Financiera,ACTIVOS,URBANOS,1370658107.66
2020,12,Estado de Situación Financiera,ACTIVOS,EDIFICACIONES,1728332425.32
2020,12,Estado de Situación Financiera,ACTIVOS,OFICINAS,1728332425.32
2020,12,Estado de Situación Financiera,ACTIVOS,"MUEBLES, ENSERES Y EQUIPO DE OFICINA",945143364.72
2020,12,Estado de Situación Financiera,ACTIVOS,MUEBLES Y ENSERES,676901687
2020,12,Estado de Situación Financiera,ACTIVOS,EQUIPOS Y MAQUINAS DE OFICINA,268241677.72
2020,12,Estado de Situación Financiera,ACTIVOS,EQUIPO DE COMUNICACION Y COMPUTO,1889935164.95
2020,12,Estado de Situación Financiera,ACTIVOS,EQUIPO DE COMUNICACION,91425400
2020,12,Estado de Situación Financiera,ACTIVOS,EQUIPO DE COMPUTACION,1798509764.95
2020,12,Estado de Situación Financiera,ACTIVOS,EQUIPOS DE TRANSPORTE,174274733
2020,12,Estado de Situación Financiera,ACTIVOS,TERRESTRE,174274733
2020,12,Estado de Situación Financiera,ACTIVOS,BIENES DE ARTE Y CULTURA,14930239.5
2020,12,Estado de Situación Financiera,ACTIVOS,OBRAS DE ARTE,14930239.5
2020,12,Estado de Situación Financiera,ACTIVOS,DEPRECIACION ACUMULADA,2812033179.77
2020,12,Estado de Situación Financiera,ACTIVOS,EDIFICACIONES,486801581.5
2020,12,Estado de Situación Financiera,ACTIVOS,MUEBLES ENSERES Y EQUIPOS DE OFICINA,825729213.23
2020,12,Estado de Situación Financiera,ACTIVOS,EQUIPO DE COMUNICACION Y COMPUTO,1243899443.4
2020,12,Estado de Situación Financiera,ACTIVOS,EQUIPO DE TRANSPORTE,255602941.64
2020,12,Estado de Situación Financiera,ACTIVOS,OTROS ACTIVOS,14156837001.98
2020,12,Estado de Situación Financiera,ACTIVOS,BIENES Y SERVICIOS PAGADOS POR ANTICIP.,9182449
2020,12,Estado de Situación Financiera,ACTIVOS,SEGUROS,9182449
2020,12,Estado de Situación Financiera,ACTIVOS,PROPIEDADES DE INVERSION,13732515966
2020,12,Estado de Situación Financiera,ACTIVOS,TERRENOS,12217632112
2020,12,Estado de Situación Financiera,ACTIVOS,EDIFICACIONES,1514883854
2020,12,Estado de Situación Financiera,ACTIVOS,INTANGIBLES,2402730342.1
2020,12,Estado de Situación Financiera,ACTIVOS,LICENCIAS,629646445.48
2020,12,Estado de Situación Financiera,ACTIVOS,SOFTWARE,1773083896.62
2020,12,Estado de Situación Financiera,ACTIVOS,AMORTIZACION ACUMULADA INTANGIBLE,1987591755.12
2020,12,Estado de Situación Financiera,ACTIVOS,LICENCIAS,564409713.36
2020,12,Estado de Situación Financiera,ACTIVOS,SOFTWARE,1423182041.76
2020,12,Estado de Situación Financiera,PASIVOS,PASIVOS,212971564166.44
2020,12,Estado de Situación Financiera,PASIVOS,OPERACIONES DE INSTITUCIONES FINANCIERAS,193942208858.13
2020,12,Estado de Situación Financiera,PASIVOS,OPERACIONES DE CAPTACION Y SERV.FCIE,193942208858.13
2020,12,Estado de Situación Financiera,PASIVOS,CERTIFICADOS DE DEPOSITOS A TERMINO,30163766994.25
2020,12,Estado de Situación Financiera,PASIVOS,DEPOSITOS DE AHORROS,161935092202.01
2020,12,Estado de Situación Financiera,PASIVOS,DEPOSITOS ESPECIALES,1843349661.87
2020,12,Estado de Situación Financiera,PASIVOS,OBLIGACIONES FINANCIERAS,1192001485
2020,12,Estado de Situación Financiera,PASIVOS,OPERACIONES DE FINANC. INTERNAS LARGO PLAZO,1192001485
2020,12,Estado de Situación Financiera,PASIVOS,PRESTAMO DE BANCA DE FOMENTO,1192001485
2020,12,Estado de Situación Financiera,PASIVOS,CUENTAS POR PAGAR,1075592842.93
2020,12,Estado de Situación Financiera,PASIVOS,ADQUISICION DE BIENES Y SERVICIOS NALES,1601724
